Id,class
1,0.00011017101374345311
2,0.00017718820677516416
3,0.00014659615099471703
4,0.00037384896850883805
5,0.0001595682448613578
6,7.64739250609073e-05
7,1.9181170425502268e-05
8,1.9680258368694394e-05
9,2.473765708870015e-05
10,2.0283435540386135e-05
11,1.6958325762769942e-05
12,1.8376004812154088e-05
13,2.258018613469072e-05
14,2.076240735471436e-05
15,2.2541429688216055e-05
16,1.775228128214804e-05
17,1.8230406626691597e-05
18,8.143258223752088e-05
19,1.8270775358502432e-05
20,1.874549745500584e-05
21,1.9424204336333765e-05
22,2.1224106320418258e-05
23,2.11205300995693e-05
24,2.87077061543267e-05
25,2.285773216196242e-05
26,1.7005752454622726e-05
27,4.009486658739488e-05
28,2.7578178123633772e-05
29,1.8961222252146324e-05
30,2.2133047348631238e-05
31,1.8513768792196876e-05
32,1.8602216055434684e-05
33,2.292695509001569e-05
34,2.0352746156589797e-05
35,2.1341044697253885e-05
36,1.83849754749143e-05
37,5.3511545921747725e-05
38,2.592855950809956e-05
39,2.7168236324546685e-05
40,1.794639967970186e-05
41,2.186606777301154e-05
42,1.8174492000720674e-05
43,2.1454970866757954e-05
44,1.872270806974059e-05
45,2.0432661018581502e-05
46,1.898429700696355e-05
47,2.1992782853145562e-05
48,2.0935886017823547e-05
49,2.3509523360446447e-05
50,7.146446750764786e-05
51,9.991489645199027e-05
52,7.146012150883359e-05
53,2.8862925657506675e-05
54,2.9092353884010497e-05
55,2.7799527965072868e-05
56,0.00012263117032510295
57,3.4588286491034165e-05
58,0.00037213054833130357
59,0.00010618343333734215
60,0.00023097380559583685
61,0.0003684812226816537
62,0.00017097819613770066
63,0.000365512615910026
64,0.00019167773342871778
65,0.000147944131090453
66,0.0001478145063579501
67,0.0001899421101676739
68,0.000154286813705801
69,3.613858180265994e-05
70,3.380387202057225e-05
71,2.8907946688689866e-05
72,2.6318225648241477e-05
73,4.816539365468095e-05
74,3.227184611492207e-05
75,3.981123430231498e-05
76,2.869289453359206e-05
77,2.543146298176352e-05
78,3.1368527369959987e-05
79,2.3850389138757273e-05
80,1.757742519723707e-05
81,1.9125308278848952e-05
82,1.873784316366175e-05
83,2.1686912717941582e-05
84,1.917495896129013e-05
85,1.9152809614009198e-05
86,2.1398092477821507e-05
87,1.8949228353475978e-05
88,4.190211967787634e-05
89,3.0453830069992296e-05
90,4.45357941867098e-05
91,2.342832203659653e-05
92,1.7925664031412588e-05
93,1.7498407598335533e-05
94,2.089079027468819e-05
95,2.337335632716477e-05
96,1.7811203333467857e-05
97,1.740005694234583e-05
98,1.7769923481556307e-05
99,4.126627411873109e-05
100,2.5124641246628522e-05
101,1.8404937416859264e-05
102,1.9189554104900152e-05
103,1.9441076861506067e-05
104,1.8371669376865427e-05
105,1.825536882428532e-05
106,2.578864249126364e-05
107,2.5356555776506688e-05
108,1.8173146647209513e-05
109,1.8094387001155148e-05
110,9.07275771046985e-05
111,1.7645799643780314e-05
112,1.8296875213576887e-05
113,1.8166000368585352e-05
114,1.8505245315668793e-05
115,1.817689585396466e-05
116,1.9254624316461984e-05
117,2.1442084796597613e-05
118,1.880948475771834e-05
119,1.897179501223151e-05
120,1.8537547226870438e-05
121,2.6596569687100663e-05
122,2.3506929851667735e-05
123,2.9091575367891965e-05
124,2.5170934162477277e-05
125,1.965772558834229e-05
126,2.8295611682004472e-05
127,2.113510663984438e-05
128,3.508682161179197e-05
129,3.801435133824503e-05
130,4.0360192443747576e-05
131,2.2233323122831177e-05
132,2.3248251574359213e-05
133,3.908018461591426e-05
134,1.9755009627562104e-05
135,2.165179825028366e-05
136,2.12380043205182e-05
137,2.2346663992801493e-05
138,3.608104823610153e-05
139,2.228363790177745e-05
140,2.9954082855078984e-05
141,2.5851751136171207e-05
142,2.3531571208600434e-05
143,1.8430618433729264e-05
144,1.8326847898833404e-05
145,4.0854124135097504e-05
146,2.4422111932268702e-05
147,2.1734670500311454e-05
148,1.9157321923632547e-05
149,2.3650023466810525e-05
150,5.023255831233864e-05
151,3.191948150990569e-05
152,2.1649955712893708e-05
153,2.1502762592311705e-05
154,7.54654221165953e-05
155,2.9044863910160733e-05
156,3.166037608696672e-05
157,3.950074061443196e-05
158,3.8972724254820985e-05
159,3.60256775896497e-05
160,0.0003906939641983221
161,2.8885433865508545e-05
162,0.0001430323912410839
163,2.094380535181142e-05
164,2.1790201525803125e-05
165,2.6748118797412766e-05
166,2.912777673224291e-05
167,3.039348948215776e-05
168,2.839689488175971e-05
169,4.911265502505146e-05
170,3.725186446990034e-05
171,4.4461937995147334e-05
172,2.7780580263242764e-05
173,2.287968028826913e-05
174,2.8295294532491647e-05
175,1.9906015261787475e-05
176,2.7167897110859767e-05
177,2.2456831049600233e-05
178,3.9449966278048706e-05
179,2.1552746461797074e-05
180,4.1525865260471745e-05
181,4.2355198211839035e-05
182,4.2442646553732134e-05
183,2.726819481773346e-05
184,2.271042668108659e-05
185,6.782941519638781e-05
186,2.21027854327802e-05
187,2.004084919406715e-05
188,2.0051477549991357e-05
189,1.9649434277625262e-05
190,0.00017684612645407262
191,0.0010277150732864663
192,0.000266671220699849
193,0.00023895679873220014
194,0.0001827582350438064
195,8.77635585869831e-05
196,0.00024517645848588316
197,5.2441368625502445e-05
198,3.496587771055195e-05
199,3.961288403276507e-05
200,4.0898584831538036e-05
201,0.0002179090403321269
202,0.0009220048441119231
203,9.953521428560901e-05
204,9.37534192555566e-05
205,6.075670947607822e-05
206,8.629027985754751e-05
207,0.00011547284891289377
208,0.0001431498835150361
209,0.00010138390465977583
210,0.00011243374065582611
211,0.0010207635231817786
212,0.00015223542609360072
213,0.00026860933473088575
214,0.0002197819053389929
215,8.708565089005821e-05
216,0.00041525739630254805
217,0.00022745928552024198
218,0.00030441583366960106
219,0.00018293736648746382
220,0.00034989145047796484
221,0.03568311507159549
222,0.0019964160571166716
223,0.00020578402793402253
224,0.00021154445585510888
225,4.193877778768162e-05
226,1.9549490471432584e-05
227,2.564385722401958e-05
228,1.7423270260760568e-05
229,1.7557133710915148e-05
230,2.6423549301009346e-05
231,2.187127772042708e-05
232,1.885725254672007e-05
233,2.3845128101438097e-05
